id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,icao_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +name","#country +code +iso2","#adm1 +name","#adm1 +code +iso","#adm1 +code +local","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +icao","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
2868,FCBB,medium_airport,"Maya-Maya Airport",-4.251699924468994,15.253000259399414,1048,AF,"Republic of the Congo",CG,"Pool Department",CG-12,12,Brazzaville,1,FCBB,FCBB,BZV,,,https://en.wikipedia.org/wiki/Maya-Maya_Airport,,750,2008-06-13T14:30:04+00:00
2871,FCPP,medium_airport,"Antonio Agostinho-Neto International Airport",-4.81603,11.8866,55,AF,"Republic of the Congo",CG,"Kouilou Department",CG-5,5,"Pointe Noire",1,FCPP,FCPP,PNR,,,https://en.wikipedia.org/wiki/Agostinho-Neto_International_Airport,"Pointe Noire",750,2021-01-27T10:27:07+00:00
30920,FCPL,medium_airport,"Ngot Nzoungou Airport",-4.20635,12.6599,1079,AF,"Republic of the Congo",CG,"Niari Department",CG-9,9,Dolisie,0,FCPD,FCPD,DIS,,,https://en.wikipedia.org/wiki/Dolisie_Airport,Dolisie,500,2025-03-19T01:30:12+00:00
2870,FCOU,medium_airport,"Ouesso Airport",1.61599,16.037901,1158,AF,"Republic of the Congo",CG,"Sangha Department",CG-13,13,Ouesso,0,FCOU,FCOU,OUE,,,https://en.wikipedia.org/wiki/Ou%C3%A9sso_Airport,,250,2024-05-16T19:25:26+00:00
2869,FCOO,medium_airport,"Owando Airport",-0.524566,15.93782,1214,AF,"Republic of the Congo",CG,"Cuvette Department",CG-8,8,Owando,0,FCOO,FCOO,FTX,,,https://en.wikipedia.org/wiki/Owando_Airport,,250,2025-03-22T21:31:13+00:00
31680,FCOI,small_airport,"Impfondo Airport",1.589968,18.046624,1050,AF,"Republic of the Congo",CG,"Likouala Department",CG-7,7,Impfondo,0,FCOI,FCOI,ION,,,https://en.wikipedia.org/wiki/Impfondo_Airport,,50,2024-04-15T20:59:03+00:00
31959,FCMM,small_airport,"Mossendjo Airport",-2.95,12.7,1519,AF,"Republic of the Congo",CG,"Niari Department",CG-9,9,Mossendjo,0,FCMM,FCMM,MSX,,,https://en.wikipedia.org/wiki/Mossendjo_Airport,,50,2024-05-16T19:24:00+00:00
32036,FCBY,small_airport,"Yokangassi Airport",-4.223077,13.286347,541,AF,"Republic of the Congo",CG,"Bouenza Department",CG-11,11,Nkayi,0,FCBY,FCBY,NKY,,,https://en.wikipedia.org/wiki/Yokangassi_Airport,,50,2016-01-31T08:46:06+00:00
30645,FCBZ,small_airport,"Zanaga Airport",-2.85,13.817,1870,AF,"Republic of the Congo",CG,"Lékoumou Department",CG-2,2,Zanaga,0,FCBZ,FCBZ,ANJ,,,https://en.wikipedia.org/wiki/Zanaga_Airport,,50,2024-04-07T06:12:51+00:00
323021,FCOD,medium_airport,"Oyo Ollombo Airport",-1.226666,15.91,1073,AF,"Republic of the Congo",CG,"Plateaux Department",CG-14,14,Oyo,0,FCOD,FCOD,OLL,,,https://en.wikipedia.org/wiki/Oyo_Ollombo_Airport,"Denis Sassou Nguesso Airport",250,2025-06-06T15:34:24+00:00
