municipality,region_name,latitude_deg,longitude_deg,elevation_ft
Brazzaville,Pool,-4.251699924468994,15.253000259399414,1048
Pointe Noire,Kouilou,-4.81603,11.8866,55
Dolisie,Niari,-4.20635,12.6599,1079
Ouesso,Sangha,1.61599,16.037901,1158
Owando,Cuvette,-0.524566,15.93782,1214
Impfondo,Likouala,1.589968,18.046624,1050
Mossendjo,Niari,-2.95,12.7,1519
Nkayi,Bouenza,-4.223077,13.286347,541
Zanaga,Lékoumou,-2.85,13.817,1870
Oyo,Plateaux,-1.226666,15.91,1073
Aubeville,Bouenza,-4.267000198364258,13.532999992370605,1148
Bangamba,Lékoumou,-3.683000087738037,13.199999809265137,1312
Betou,Likouala,3.057593,18.514433,1168
Bomassa,Sangha,2.202584,16.185859,0
Boundji,Cuvette,-1.03104,15.336009,1247
Djambala,Plateaux,-2.516883,14.754403,2595
Enyele,Likouala,2.829175,18.02458,1318
Ewo,Cuvette,-0.883,14.8,1503
Gamboma,Plateaux,-1.829403,15.885237,1509
Gokango,Niari,-3.0329999923706055,12.133000373840332,820
Irogo,Niari,-2.7170000076293945,11.883000373840332,919
Kele Kibangou,Niari,-3.316999912261963,12.616999626159668,902
Kelle,Cuvette,-0.071271,14.506621,1526
Kibangou,Niari,-3.4830000400543213,12.300000190734863,427
Kindamba,Pool,-3.749781,14.490264,1460
La Louila,Pool,-4.083000183105469,14.232999801635742,984
Lague,Plateaux,-2.45,14.533,2756
Leboulou,Niari,-2.9000000953674316,12.366999626159668,886
Legala,Niari,-2.2170000076293945,12.833000183105469,2152
Leganda,Lékoumou,-3.433000087738037,12.932999610900879,1198
Lekana,Plateaux,-2.313,14.606,2634
Loubetsi,Niari,-3.700000047683716,12.133000373840332,328
Loufoula,Niari,-3,12,650
Loukanyi,Kouilou,-4.048475,11.521568,295
Loutete,Bouenza,-4.2829999923706055,13.866999626159668,656
M'passa,Pool,-4.367000102996826,14.149999618530273,1115
Makabana,Niari,-3.483,12.617,495
Makoua,Cuvette,-0.020842,15.577746,1293
Mandoro,Niari,-2.6500000953674316,12.883000373840332,1772
Marala,Niari,-2.9000000953674316,12.633000373840332,1535
Matoko,Likouala,-1.012216,17.104403,0
Mavinza,Niari,-2.450000047683716,11.649999618530273,509
Mokabi,Likouala,3.278863,16.756092,1664
Mouyondzi,Bouenza,-4.014874,13.966112,1670
N'gongo,Niari,-2.9830000400543213,12.199999809265137,906
N'Zabi,Niari,-3.1670000553131104,12.866999626159668,1640
N'zambi,Kouilou,-3.93999,11.30887,98
N'Ziba,Niari,-2.7170000076293945,12.532999992370605,2149
Noumbi,Kouilou,-4.144149,11.383476,39
Nyanga,Niari,-2.867000102996826,11.949999809265137,558
Okoyo,Cuvette,-1.4483300447464,15.073300361633,1415
Pemo,Niari,-2.867000102996826,12.532999992370605,1686
Sibiti,Lékoumou,-3.683,13.35,1883
Sidetra,Niari,-2.867000102996826,12.866999626159668,2133
Souanke,Sangha,1.998326,14.174217,1722
Thanry,Likouala,2.651304,17.173194,1193
Obouya,Cuvette,-0.92292,15.71381,0
